,title,word
organizer,Emma,1
warmly,Jane Eyre,1
originally,Emma,1
wants,The Taming of the Shrew,1
orphan,Emma,1
orphan,Jane Eyre,1
orphaned,Jane Eyre,1
others,The Awakening,1
others,The Importance of Being Earnest,1
wants,The Importance of Being Earnest,1
outbreak,Romeo and Juliet,1
outfit,The Handmaid's Tale,1
outgoing,Pride and Prejudice,1
outline,Beloved,1
outlying,The Handmaid's Tale,1
wants,Pride and Prejudice,1
waiting,The Handmaid's Tale,1
owing,Emma,1
owned,Jane Eyre,1
wait,Macbeth,1
volley,The Taming of the Shrew,1
voice,The Handmaid's Tale,1
part,Beloved,1
part,Emma,1
voice,Jane Eyre,1
vocal,The Handmaid's Tale,1
part,Macbeth,1
part,Romeo and Juliet,1
visits,The Importance of Being Earnest,1
partial,Jane Eyre,1
participant,The Great Gatsby,1
particular,As You Like It,1
particularly,The Handmaid's Tale,1
partly,Macbeth,1
partner,Emma,1
partner,The Scarlet Letter,1
visits,Emma,1
parts,As You Like It,1
visitors,Emma,1
party,Pride and Prejudice,1
visited,Pride and Prejudice,1
party,The Importance of Being Earnest,1
visit,The Great Gatsby,1
passage,The Scarlet Letter,1
passed,Othello,1
passenger,The Scarlet Letter,1
passes,Jane Eyre,1
volume,The Importance of Being Earnest,1
parisian,Jane Eyre,1
vow,The Scarlet Letter,1
pale,The Scarlet Letter,1
owner,Jane Eyre,1
owns,Jane Eyre,1
pacific,Life of Pi,1
wailing,Jane Eyre,1
wagon,Beloved,1
packs,Beloved,1
pain,Romeo and Juliet,1
painting,The Awakening,1
voyage,Life of Pi,1
vows,The Taming of the Shrew,1
pal,The Handmaid's Tale,1
vows,The Scarlet Letter,1
parade,The Scarlet Letter,1
parish,Jane Eyre,1
parceled,The Handmaid's Tale,1
pardon,Othello,1
pardon,Romeo and Juliet,1
pared,The Handmaid's Tale,1
parent,The Kite Runner,1
vows,Romeo and Juliet,1
parentage,The Importance of Being Earnest,1
vows,Jane Eyre,1
parents,Beloved,1
parents,Emma,1
parents,The Importance of Being Earnest,1
paris,The Importance of Being Earnest,1
watch,Much Ado About Nothing,1
watch,The Taming of the Shrew,1
novel,Life of Pi,1
well,Emma,1
oddly,Emma,1
ofcharles,The Handmaid's Tale,1
offend,Othello,1
offended,Pride and Prejudice,1
offends,The Awakening,1
well,As You Like It,1
offer,Emma,1
offer,The Handmaid's Tale,1
offering,The Taming of the Shrew,1
offers,As You Like It,1
welcomed,Jane Eyre,1
weeks,The Awakening,1
weekly,The Great Gatsby,1
offers,Life of Pi,1
offers,Romeo and Juliet,1
weeklong,Jane Eyre,1
offers,The Importance of Being Earnest,1
office,Emma,1
weekend,The Importance of Being Earnest,1
officer,Pride and Prejudice,1
week,Emma,1
official,The Handmaid's Tale,1
official,The Scarlet Letter,1
officials,The Handmaid's Tale,1
oft,The Awakening,1
often,Jane Eyre,1
ofwarren,The Handmaid's Tale,1
odd,The Awakening,1
occurs,Much Ado About Nothing,1
options,Life of Pi,1
occurs,Life of Pi,1
west,The Importance of Being Earnest,1
nuclear,The Handmaid's Tale,1
number,Twelfth Night,1
oars,Life of Pi,1
obedient,The Taming of the Shrew,1
obey,The Awakening,1
obeys,The Taming of the Shrew,1
object,The Awakening,1
objections,Pride and Prejudice,1
objections,The Handmaid's Tale,1
observe,Much Ado About Nothing,1
observe,The Handmaid's Tale,1
observer,The Great Gatsby,1
observes,Emma,1
obsessed,The Awakening,1
obsession,The Scarlet Letter,1
obsessive,Beloved,1
obstinate,Twelfth Night,1
obtain,The Handmaid's Tale,1
obtain,The Scarlet Letter,1
well,The Taming of the Shrew,1
obtain,Twelfth Night,1
well,The Handmaid's Tale,1
obviously,Emma,1
obviously,Jane Eyre,1
occasional,Pride and Prejudice,1
well,Othello,1
wedding,Pride and Prejudice,1
wedding,Much Ado About Nothing,1
wed,The Taming of the Shrew,1
wed,Emma,1
onto,Life of Pi,1
open,Beloved,1
open,The Awakening,1
open,Twelfth Night,1
water,The Great Gatsby,1
opening,Twelfth Night,1
opens,Jane Eyre,1
water,Jane Eyre,1
watching,The Scarlet Letter,1
opens,Macbeth,1
opens,Othello,1
opens,The Great Gatsby,1
opens,The Kite Runner,1
watches,Beloved,1
opera,Jane Eyre,1
operated,Beloved,1
operatives,The Handmaid's Tale,1
opponents,As You Like It,1
opportunity,Macbeth,1
opportunity,Othello,1
opportunity,The Importance of Being Earnest,1
opportunity,The Kite Runner,1
watched,Twelfth Night,1
opposed,Pride and Prejudice,1
opposed,Romeo and Juliet,1
watched,Life of Pi,1
opting,The Taming of the Shrew,1
waterford,The Handmaid's Tale,1
waters,Life of Pi,1
way,Beloved,1
older,The Taming of the Shrew,1
old,Beloved,1
weather,Emma,1
weary,As You Like It,1
old,The Awakening,1
wearing,The Scarlet Letter,1
wear,The Scarlet Letter,1
wealthy,The Taming of the Shrew,1
wealthy,The Scarlet Letter,1
wealthy,The Importance of Being Earnest,1
older,The Importance of Being Earnest,1
older,The Scarlet Letter,1
wealth,The Taming of the Shrew,1
oldest,Pride and Prejudice,1
way,Life of Pi,1
ominously,The Great Gatsby,1
weaken,Beloved,1
weak,The Importance of Being Earnest,1
ways,Jane Eyre,1
one,Emma,1
way,Twelfth Night,1
one,Macbeth,1
way,The Importance of Being Earnest,1
way,The Handmaid's Tale,1
one,Othello,1
way,Romeo and Juliet,1
way,Macbeth,1
punishment,The Scarlet Letter,1
try,As You Like It,1
two,Macbeth,1
shadowy,The Scarlet Letter,1
take,Romeo and Juliet,1
several,Beloved,1
several,Much Ado About Nothing,1
take,Macbeth,1
several,Twelfth Night,1
tailor,The Taming of the Shrew,1
sex,Beloved,1
sexual,The Handmaid's Tale,1
sexual,The Taming of the Shrew,1
sexuality,The Awakening,1
sexually,Twelfth Night,1
shackled,Beloved,1
shades,The Kite Runner,1
shaken,Emma,1
take,Twelfth Night,1
shall,The Taming of the Shrew,1
tactics,Emma,1
share,As You Like It,1
taciturn,Jane Eyre,1
share,Emma,1
share,The Awakening,1
share,The Handmaid's Tale,1
share,The Scarlet Letter,1
shares,Life of Pi,1
sharing,Othello,1
shark,Life of Pi,1
sharp,The Handmaid's Tale,1
sharply,The Great Gatsby,1
take,The Scarlet Letter,1
seventeen,Emma,1
sheep,As You Like It,1
takes,The Importance of Being Earnest,1
seriously,The Awakening,1
tale,Pride and Prejudice,1
seriousness,The Awakening,1
sermons,The Scarlet Letter,1
servant,Beloved,1
taking,The Taming of the Shrew,1
servant,Othello,1
servant,The Kite Runner,1
taking,Jane Eyre,1
takes,The Taming of the Shrew,1
servants,Jane Eyre,1
servants,Romeo and Juliet,1
takes,The Kite Runner,1
servants,The Kite Runner,1
taken,Macbeth,1
takes,Romeo and Juliet,1
servants,Twelfth Night,1
takes,As You Like It,1
taken,The Taming of the Shrew,1
taken,The Scarlet Letter,1
set,Jane Eyre,1
set,Macbeth,1
sets,Life of Pi,1
sets,The Handmaid's Tale,1
sets,The Kite Runner,1
settle,As You Like It,1
settles,Pride and Prejudice,1
settles,The Scarlet Letter,1
shedding,As You Like It,1
sheets,As You Like It,1
seriously,As You Like It,1
sign,The Scarlet Letter,1
show,The Taming of the Shrew,1
swear,Macbeth,1
shows,Emma,1
suspicion,Othello,1
shreds,The Handmaid's Tale,1
shrewd,The Taming of the Shrew,1
suspicion,Macbeth,1
side,Twelfth Night,1
sides,Romeo and Juliet,1
sight,As You Like It,1
sight,Life of Pi,1
suspects,Pride and Prejudice,1
sight,Romeo and Juliet,1
suspect,The Scarlet Letter,1
swears,Macbeth,1
suspect,Emma,1
signal,Macbeth,1
significant,Life of Pi,1
significant,Twelfth Night,1
silence,The Scarlet Letter,1
survival,The Handmaid's Tale,1
similar,Life of Pi,1
similar,Pride and Prejudice,1
similarities,The Kite Runner,1
surveys,The Taming of the Shrew,1
simple,The Scarlet Letter,1
simultaneously,The Scarlet Letter,1
sin,The Scarlet Letter,1
swear,The Scarlet Letter,1
swift,As You Like It,1
shelter,Jane Eyre,1
shocked,The Awakening,1
shepherd,As You Like It,1
shepherdess,As You Like It,1
tables,The Taming of the Shrew,1
shi,The Kite Runner,1
table,Macbeth,1
shifts,The Importance of Being Earnest,1
system,The Taming of the Shrew,1
shillings,Jane Eyre,1
system,The Kite Runner,1
ship,Othello,1
system,The Awakening,1
shipwrecked,Twelfth Night,1
shirt,The Importance of Being Earnest,1
symbol,The Scarlet Letter,1
show,Macbeth,1
shocked,The Scarlet Letter,1
shoes,Jane Eyre,1
shop,Emma,1
shore,The Awakening,1
short,As You Like It,1
shortly,Beloved,1
sworn,Macbeth,1
shortly,The Scarlet Letter,1
swoons,As You Like It,1
shortly,The Taming of the Shrew,1
swimming,The Awakening,1
swiftly,Macbeth,1
shoves,Emma,1
seriously,Emma,1
serious,Pride and Prejudice,1
singer,Jane Eyre,1
seek,Pride and Prejudice,1
seducing,Othello,1
morning,Othello,1
see,Jane Eyre,1
see,Life of Pi,1
see,The Importance of Being Earnest,1
see,The Taming of the Shrew,1
tells,Life of Pi,1
seed,Othello,1
seeds,Othello,1
seeing,Much Ado About Nothing,1
seeing,The Handmaid's Tale,1
seeing,The Scarlet Letter,1
seek,As You Like It,1
seek,Romeo and Juliet,1
security,Pride and Prejudice,1
telling,Pride and Prejudice,1
telling,Othello,1
seeking,The Taming of the Shrew,1
seeks,Jane Eyre,1
seeks,Romeo and Juliet,1
seemingly,Romeo and Juliet,1
seemingly,The Taming of the Shrew,1
seems,Jane Eyre,1
seems,Life of Pi,1
tell,Pride and Prejudice,1
seems,Othello,1
seems,Pride and Prejudice,1
tell,Othello,1
seduces,Beloved,1
secure,Life of Pi,1
seems,The Scarlet Letter,1
second,The Importance of Being Earnest,1
tenets,The Kite Runner,1
sea,The Scarlet Letter,1
sea,Twelfth Night,1
search,Jane Eyre,1
seasick,Life of Pi,1
season,The Awakening,1
seclusion,Jane Eyre,1
tends,As You Like It,1
second,Emma,1
tendency,Emma,1
ten,Emma,1
second,Macbeth,1
temporarily,Life of Pi,1
second,The Taming of the Shrew,1
secular,The Importance of Being Earnest,1
secrecy,Emma,1
tempered,Romeo and Juliet,1
secret,Jane Eyre,1
tempered,Life of Pi,1
secret,Othello,1
tells,The Scarlet Letter,1
secret,The Scarlet Letter,1
secret,The Taming of the Shrew,1
tells,Pride and Prejudice,1
secrets,The Handmaid's Tale,1
section,Macbeth,1
section,The Great Gatsby,1
sects,The Handmaid's Tale,1
seems,The Importance of Being Earnest,1
tell,Much Ado About Nothing,1
serious,Much Ado About Nothing,1
sent,As You Like It,1
sends,Beloved,1
sends,Romeo and Juliet,1
sends,The Taming of the Shrew,1
teacher,Jane Eyre,1
tea,The Importance of Being Earnest,1
sense,Emma,1
senseless,The Taming of the Shrew,1
senses,Much Ado About Nothing,1
sensibility,The Great Gatsby,1
sensible,The Importance of Being Earnest,1
sensing,The Importance of Being Earnest,1
sensuality,The Awakening,1
tapestry,Twelfth Night,1
sent,Emma,1
sending,As You Like It,1
sent,Twelfth Night,1
sentence,Beloved,1
sentence,Romeo and Juliet,1
tamed,The Taming of the Shrew,1
separated,The Handmaid's Tale,1
separation,Pride and Prejudice,1
sequence,Romeo and Juliet,1
tame,Life of Pi,1
talks,As You Like It,1
talker,Emma,1
series,Macbeth,1
talkative,Emma,1
series,The Kite Runner,1
teacher,The Awakening,1
send,The Importance of Being Earnest,1
seen,Life of Pi,1
tease,Much Ado About Nothing,1
tell,Life of Pi,1
sees,Emma,1
tell,Jane Eyre,1
sees,Jane Eyre,1
sees,Life of Pi,1
tell,Emma,1
sees,Macbeth,1
tell,As You Like It,1
teeth,Beloved,1
teenager,Life of Pi,1
sees,Twelfth Night,1
segments,The Handmaid's Tale,1
teasing,As You Like It,1
teaching,The Importance of Being Earnest,1
send,Romeo and Juliet,1
seize,The Handmaid's Tale,1
seizes,Othello,1
selected,The Handmaid's Tale,1
selects,Beloved,1
self,Beloved,1
self,Much Ado About Nothing,1
self,The Taming of the Shrew,1
selfish,Pride and Prejudice,1
sell,Life of Pi,1
selling,The Awakening,1
teaching,Jane Eyre,1
senators,Othello,1
teaches,The Importance of Being Earnest,1
surrounded,The Handmaid's Tale,1
singer,The Handmaid's Tale,1
purchase,As You Like It,1
strengthen,Macbeth,1
spectators,The Taming of the Shrew,1
speech,The Handmaid's Tale,1
speech,The Taming of the Shrew,1
speed,As You Like It,1
speedy,Othello,1
spend,The Great Gatsby,1
spending,The Awakening,1
stronger,Beloved,1
strong,As You Like It,1
spends,Jane Eyre,1
strips,The Handmaid's Tale,1
stricture,Pride and Prejudice,1
stretching,The Great Gatsby,1
strength,Macbeth,1
specifically,The Great Gatsby,1
spies,The Taming of the Shrew,1
street,Othello,1
spirited,Pride and Prejudice,1
spiritual,Jane Eyre,1
spite,Emma,1
spite,The Taming of the Shrew,1
strawberry,Emma,1
spiteful,The Handmaid's Tale,1
split,Beloved,1
strain,Macbeth,1
splitting,Jane Eyre,1
spunk,The Handmaid's Tale,1
spur,Macbeth,1
specifically,The Kite Runner,1
struggle,The Handmaid's Tale,1
square,The Scarlet Letter,1
spanish,Jane Eyre,1
submissiveness,Jane Eyre,1
subdue,Life of Pi,1
stunned,The Taming of the Shrew,1
stunned,Pride and Prejudice,1
sorts,Twelfth Night,1
stung,Macbeth,1
stumbling,The Importance of Being Earnest,1
stumbles,The Scarlet Letter,1
soul,Othello,1
soul,The Scarlet Letter,1
stumble,Much Ado About Nothing,1
sounds,The Importance of Being Earnest,1
south,Jane Eyre,1
spare,Beloved,1
speaks,Life of Pi,1
spare,The Handmaid's Tale,1
sparkle,Emma,1
speak,Othello,1
students,Jane Eyre,1
student,Jane Eyre,1
speak,Pride and Prejudice,1
struggles,The Handmaid's Tale,1
speak,The Great Gatsby,1
speak,The Scarlet Letter,1
speak,The Taming of the Shrew,1
speaker,The Handmaid's Tale,1
struggle,The Taming of the Shrew,1
speaking,Macbeth,1
straighten,The Importance of Being Earnest,1
story,The Taming of the Shrew,1
sooner,Life of Pi,1
stop,Othello,1
stated,The Awakening,1
states,The Importance of Being Earnest,1
stories,Much Ado About Nothing,1
stating,Pride and Prejudice,1
stored,Life of Pi,1
station,The Handmaid's Tale,1
station,The Importance of Being Earnest,1
status,As You Like It,1
status,Pride and Prejudice,1
status,The Importance of Being Earnest,1
stay,The Kite Runner,1
stopped,The Scarlet Letter,1
steel,The Handmaid's Tale,1
stop,As You Like It,1
storms,Much Ado About Nothing,1
stooge,The Handmaid's Tale,1
steward,Twelfth Night,1
sticks,Life of Pi,1
stigma,The Awakening,1
stolen,The Handmaid's Tale,1
stigmata,The Scarlet Letter,1
stockings,Twelfth Night,1
still,Emma,1
stirs,The Awakening,1
still,Much Ado About Nothing,1
stir,Romeo and Juliet,1
still,Romeo and Juliet,1
stingy,Jane Eyre,1
storms,As You Like It,1
state,Othello,1
squire,The Importance of Being Earnest,1
stand,Jane Eyre,1
story,The Scarlet Letter,1
stab,Beloved,1
stabbed,Life of Pi,1
stable,Beloved,1
story,The Kite Runner,1
stabs,Romeo and Juliet,1
staffed,The Handmaid's Tale,1
stage,Macbeth,1
stages,Othello,1
story,The Handmaid's Tale,1
staging,Twelfth Night,1
stalks,As You Like It,1
story,The Awakening,1
story,Much Ado About Nothing,1
state,Macbeth,1
stand,The Scarlet Letter,1
standard,The Handmaid's Tale,1
standing,Jane Eyre,1
standing,Romeo and Juliet,1
standing,The Great Gatsby,1
stands,Othello,1
stands,Twelfth Night,1
star,Jane Eyre,1
stare,The Handmaid's Tale,1
start,The Scarlet Letter,1
story,Beloved,1
startling,The Scarlet Letter,1
starts,The Scarlet Letter,1
sorry,Emma,1
subordinate,The Taming of the Shrew,1
singing,Twelfth Night,1
slim,The Kite Runner,1
slavery,The Handmaid's Tale,1
slaves,Beloved,1
supposed,Othello,1
sleep,Macbeth,1
sleep,The Taming of the Shrew,1
sleeping,Romeo and Juliet,1
supports,Twelfth Night,1
sleeps,Macbeth,1
sleepy,Macbeth,1
slept,As You Like It,1
slices,Beloved,1
support,The Handmaid's Tale,1
slights,Emma,1
slipped,Jane Eyre,1
slain,Macbeth,1
sunni,The Kite Runner,1
slow,As You Like It,1
slurs,The Taming of the Shrew,1
sunken,Life of Pi,1
small,As You Like It,1
small,Emma,1
small,Much Ado About Nothing,1
sunday,The Taming of the Shrew,1
small,The Importance of Being Earnest,1
small,The Scarlet Letter,1
smalltime,Jane Eyre,1
sun,The Taming of the Shrew,1
smarting,Much Ado About Nothing,1
slate,The Scarlet Letter,1
sky,The Scarlet Letter,1
smells,Jane Eyre,1
sits,Emma,1
single,Macbeth,1
single,Pride and Prejudice,1
single,The Handmaid's Tale,1
single,The Kite Runner,1
single,Twelfth Night,1
sings,The Importance of Being Earnest,1
surreptitious,The Handmaid's Tale,1
surprisingly,The Scarlet Letter,1
surprises,Pride and Prejudice,1
sisters,As You Like It,1
surprised,Pride and Prejudice,1
surprise,The Taming of the Shrew,1
site,Beloved,1
situation,Emma,1
skill,Twelfth Night,1
surprise,Emma,1
surmise,The Handmaid's Tale,1
situation,The Importance of Being Earnest,1
situation,The Kite Runner,1
situation,The Taming of the Shrew,1
six,Jane Eyre,1
sure,Emma,1
supremacy,The Handmaid's Tale,1
supposedly,The Taming of the Shrew,1
size,The Awakening,1
skepticism,Life of Pi,1
sketching,The Awakening,1
supposedly,Jane Eyre,1
summoning,The Handmaid's Tale,1
smile,Twelfth Night,1
subscribing,Life of Pi,1
son,Romeo and Juliet,1
something,Emma,1
suggest,The Scarlet Letter,1
something,The Great Gatsby,1
something,The Scarlet Letter,1
something,The Taming of the Shrew,1
suggest,The Handmaid's Tale,1
sometime,The Great Gatsby,1
suffers,The Handmaid's Tale,1
somewhat,Life of Pi,1
son,As You Like It,1
suffer,The Handmaid's Tale,1
suddenly,The Scarlet Letter,1
suddenly,Macbeth,1
son,The Importance of Being Earnest,1
suggests,Jane Eyre,1
sudden,The Awakening,1
son,The Taming of the Shrew,1
suck,Beloved,1
succumbs,Much Ado About Nothing,1
successfully,The Taming of the Shrew,1
successful,Macbeth,1
success,Emma,1
soon,Much Ado About Nothing,1
succeeded,Jane Eyre,1
soon,Othello,1
suburbs,The Great Gatsby,1
subtle,The Taming of the Shrew,1
subsequent,Emma,1
someone,The Taming of the Shrew,1
someone,Emma,1
smith,Emma,1
socioeconomic,The Kite Runner,1
smoke,Jane Eyre,1
smooth,Emma,1
smothers,Othello,1
snake,As You Like It,1
summer,The Handmaid's Tale,1
sneaks,Jane Eyre,1
suitor,Othello,1
suitor,Much Ado About Nothing,1
social,The Importance of Being Earnest,1
socially,Emma,1
socially,The Awakening,1
socially,Twelfth Night,1
society,The Awakening,1
solace,Emma,1
somber,The Scarlet Letter,1
suitor,As You Like It,1
solace,The Scarlet Letter,1
sold,Beloved,1
suit,Emma,1
soldier,Othello,1
suicide,The Handmaid's Tale,1
sole,Beloved,1
solidly,The Importance of Being Earnest,1
suicide,Jane Eyre,1
solitary,Beloved,1
solitary,The Great Gatsby,1
solitude,Beloved,1
solve,As You Like It,1
tense,The Importance of Being Earnest,1
sea,Life of Pi,1
scratched,The Handmaid's Tale,1
refusing,Pride and Prejudice,1
reduniformed,The Handmaid's Tale,1
reeds,Jane Eyre,1
reference,The Kite Runner,1
reflect,Beloved,1
treacherous,Macbeth,1
refusal,The Awakening,1
tray,Jane Eyre,1
travels,The Great Gatsby,1
travels,The Awakening,1
refuses,Othello,1
travelling,The Taming of the Shrew,1
traveled,The Taming of the Shrew,1
refusing,Emma,1
refutes,The Importance of Being Earnest,1
rediscover,Beloved,1
regained,Jane Eyre,1
traumatic,The Kite Runner,1
regains,Much Ado About Nothing,1
regard,Emma,1
trap,The Taming of the Shrew,1
regardless,Twelfth Night,1
transport,Life of Pi,1
regicide,Macbeth,1
regret,The Scarlet Letter,1
translates,The Handmaid's Tale,1
transformation,The Taming of the Shrew,1
transcript,Life of Pi,1
training,The Handmaid's Tale,1
reducing,Romeo and Juliet,1
red,The Handmaid's Tale,1
train,Life of Pi,1
trees,As You Like It,1
received,Othello,1
receives,Emma,1
tricksters,Twelfth Night,1
receives,Jane Eyre,1
receives,Macbeth,1
receives,Pride and Prejudice,1
receives,Romeo and Juliet,1
receives,The Awakening,1
triangle,Twelfth Night,1
recent,Emma,1
reception,The Importance of Being Earnest,1
reception,The Taming of the Shrew,1
trees,Life of Pi,1
rechristening,The Importance of Being Earnest,1
treacherous,Othello,1
tree,Life of Pi,1
recipes,Life of Pi,1
recognizes,The Scarlet Letter,1
reconcile,Romeo and Juliet,1
treats,The Scarlet Letter,1
treats,Pride and Prejudice,1
reconciled,Emma,1
reconciliation,Jane Eyre,1
reconciliation,Othello,1
recorded,The Handmaid's Tale,1
rector,Emma,1
treat,The Taming of the Shrew,1
treachery,The Handmaid's Tale,1
training,As You Like It,1
reincarnation,Beloved,1
receive,Emma,1
reminding,Jane Eyre,1
reluctantly,Much Ado About Nothing,1
remain,Jane Eyre,1
remain,Life of Pi,1
touches,The Handmaid's Tale,1
remain,The Scarlet Letter,1
remaining,The Awakening,1
remains,Life of Pi,1
remains,The Awakening,1
remains,The Great Gatsby,1
remains,The Taming of the Shrew,1
remarkable,The Kite Runner,1
remarried,Emma,1
remembered,Othello,1
reminds,Emma,1
tournament,The Kite Runner,1
tossed,Life of Pi,1
remodels,Jane Eyre,1
remove,The Taming of the Shrew,1
removes,The Scarlet Letter,1
renewed,The Scarlet Letter,1
renounces,As You Like It,1
renounces,The Taming of the Shrew,1
rental,The Awakening,1
repeatedly,Much Ado About Nothing,1
repelled,Pride and Prejudice,1
repercussions,The Kite Runner,1
replaces,The Scarlet Letter,1
replenishes,Beloved,1
reluctant,Romeo and Juliet,1
toward,The Awakening,1
tragic,Romeo and Juliet,1
relationship,Pride and Prejudice,1
reinstatement,Othello,1
rejects,As You Like It,1
rejects,Macbeth,1
rejects,The Taming of the Shrew,1
rekindle,Othello,1
relapse,The Taming of the Shrew,1
tragedy,Jane Eyre,1
related,Romeo and Juliet,1
relates,The Handmaid's Tale,1
trade,The Taming of the Shrew,1
relating,Emma,1
relationship,Much Ado About Nothing,1
trade,Othello,1
townspeople,The Scarlet Letter,1
religious,As You Like It,1
relationships,Pride and Prejudice,1
relationships,The Handmaid's Tale,1
town,The Great Gatsby,1
relative,Romeo and Juliet,1
release,Beloved,1
town,The Awakening,1
town,Jane Eyre,1
relent,The Importance of Being Earnest,1
relief,Emma,1
relieved,Emma,1
relieved,The Handmaid's Tale,1
town,Emma,1
toward,The Scarlet Letter,1
received,Emma,1
recaptured,Much Ado About Nothing,1
scrabble,The Handmaid's Tale,1
quickly,Twelfth Night,1
turns,Pride and Prejudice,1
questions,The Scarlet Letter,1
turns,Much Ado About Nothing,1
quick,Romeo and Juliet,1
quickest,Macbeth,1
turns,Beloved,1
turned,The Great Gatsby,1
quickly,Beloved,1
quickly,Jane Eyre,1
quickly,Life of Pi,1
turn,The Scarlet Letter,1
quickly,Pride and Prejudice,1
quickly,The Importance of Being Earnest,1
turn,As You Like It,1
questioning,Much Ado About Nothing,1
turks,Othello,1
quiet,Othello,1
tsimtsum,Life of Pi,1
quietly,Pride and Prejudice,1
quite,The Taming of the Shrew,1
quits,Beloved,1
r,The Handmaid's Tale,1
race,The Handmaid's Tale,1
races,Jane Eyre,1
trying,Pride and Prejudice,1
rachel,The Handmaid's Tale,1
trying,Othello,1
trying,Jane Eyre,1
questions,Emma,1
questioners,Life of Pi,1
trying,Beloved,1
pursuit,The Taming of the Shrew,1
two,Life of Pi,1
purge,The Handmaid's Tale,1
purifiers,Life of Pi,1
twins,Twelfth Night,1
puritan,The Scarlet Letter,1
puritanical,Twelfth Night,1
purporting,Twelfth Night,1
purpose,The Awakening,1
purpose,The Handmaid's Tale,1
purpose,The Taming of the Shrew,1
twin,Twelfth Night,1
pursing,Jane Eyre,1
pursuing,The Importance of Being Earnest,1
put,As You Like It,1
tutor,The Taming of the Shrew,1
put,The Taming of the Shrew,1
twenty,Jane Eyre,1
puts,Life of Pi,1
putting,The Awakening,1
putting,The Taming of the Shrew,1
puzzles,Pride and Prejudice,1
quaker,Beloved,1
twelfth,Twelfth Night,1
quaker,The Handmaid's Tale,1
quarrel,As You Like It,1
question,Pride and Prejudice,1
question,The Scarlet Letter,1
questioned,Life of Pi,1
raft,Life of Pi,1
rage,As You Like It,1
recapture,Beloved,1
realizes,The Importance of Being Earnest,1
troubled,The Scarlet Letter,1
real,The Importance of Being Earnest,1
trouble,The Importance of Being Earnest,1
realize,The Awakening,1
realize,The Taming of the Shrew,1
realizes,As You Like It,1
realizes,Beloved,1
realizes,Emma,1
trip,The Taming of the Shrew,1
trip,Pride and Prejudice,1
trip,Emma,1
realizes,Macbeth,1
realizes,Much Ado About Nothing,1
realizes,Twelfth Night,1
real,Emma,1
realizing,Jane Eyre,1
realizing,Othello,1
realizing,The Awakening,1
really,The Importance of Being Earnest,1
tries,Much Ado About Nothing,1
tries,Macbeth,1
rearing,The Awakening,1
rears,The Kite Runner,1
reason,As You Like It,1
reasonable,Emma,1
rebellious,The Handmaid's Tale,1
recall,Macbeth,1
recalling,Macbeth,1
real,Jane Eyre,1
ready,The Importance of Being Earnest,1
rage,The Great Gatsby,1
reach,Life of Pi,1
raise,Macbeth,1
still,The Taming of the Shrew,1
raises,Othello,1
trusted,Othello,1
truly,The Importance of Being Earnest,1
rapidly,Macbeth,1
rarely,The Great Gatsby,1
rather,Emma,1
rather,Pride and Prejudice,1
rather,Romeo and Juliet,1
rather,The Kite Runner,1
rather,The Taming of the Shrew,1
reach,Emma,1
reach,Romeo and Juliet,1
troupe,The Taming of the Shrew,1
reaction,Othello,1
reaction,The Kite Runner,1
read,Beloved,1
read,The Awakening,1
reader,The Great Gatsby,1
true,Othello,1
true,Macbeth,1
readers,The Kite Runner,1
true,Life of Pi,1
reading,Jane Eyre,1
reading,The Handmaid's Tale,1
ready,As You Like It,1
ready,Jane Eyre,1
reply,Jane Eyre,1
reports,Beloved,1
tortured,The Handmaid's Tale,1
thinks,Jane Eyre,1
though,Romeo and Juliet,1
though,Much Ado About Nothing,1
romance,The Awakening,1
romance,The Importance of Being Earnest,1
romantic,Much Ado About Nothing,1
though,Beloved,1
romantic,The Awakening,1
though,As You Like It,1
thirty,The Handmaid's Tale,1
romantic,The Importance of Being Earnest,1
thirties,Jane Eyre,1
thirst,Life of Pi,1
thinks,The Taming of the Shrew,1
thinking,Much Ado About Nothing,1
thoughts,Othello,1
rooms,Jane Eyre,1
roots,Life of Pi,1
roots,The Scarlet Letter,1
rosaline,Romeo and Juliet,1
royal,Macbeth,1
rude,Emma,1
rule,Macbeth,1
ruling,The Kite Runner,1
rumor,Pride and Prejudice,1
thinking,Emma,1
run,Jane Eyre,1
think,The Taming of the Shrew,1
run,Much Ado About Nothing,1
role,Twelfth Night,1
threat,Macbeth,1
runaway,Beloved,1
three,The Taming of the Shrew,1
rightly,The Taming of the Shrew,1
rightwing,The Handmaid's Tale,1
ring,As You Like It,1
rips,Jane Eyre,1
rise,Macbeth,1
rise,The Handmaid's Tale,1
risk,The Taming of the Shrew,1
throat,Life of Pi,1
throat,Beloved,1
thrives,Pride and Prejudice,1
thrilled,Pride and Prejudice,1
ritual,The Handmaid's Tale,1
thrilled,Jane Eyre,1
three,The Scarlet Letter,1
role,Pride and Prejudice,1
three,The Importance of Being Earnest,1
three,Macbeth,1
rival,The Taming of the Shrew,1
river,Beloved,1
road,Beloved,1
three,As You Like It,1
roaming,Jane Eyre,1
roasts,Beloved,1
threatens,The Taming of the Shrew,1
threatens,Beloved,1
robotic,The Handmaid's Tale,1
rocking,Life of Pi,1
threaten,Romeo and Juliet,1
run,The Great Gatsby,1
runs,Emma,1
reports,The Handmaid's Tale,1
scene,The Taming of the Shrew,1
say,Emma,1
saying,Jane Eyre,1
